,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,3.7526178,3.6588144,3.5664904,3.475639,3.386256,3.298335,3.21187,3.1268554,3.0432851,2.9611523,2.8804507,2.8011746,2.7233167,2.6468706,2.5718305,2.4981883,2.4259377,2.355072,2.2855842,2.2174673,2.150714,2.085317,2.0212698,1.9585643,1.8971939,1.837151,1.7784283,1.7210181,1.664913,1.6101062,1.5565891,1.5043545,1.4533947,1.4037018,1.3552684,1.3080857,1.2621466,1.2174424,1.1739652,1.131707,1.0906599,1.0508153,1.0121664,0.9747046,0.9384227,0.9033128,0.86936724,0.8365782,0.8049382,0.7744387,0.74507165,0.7168287,0.6897014,0.66368073,0.6387578,0.61492395,0.5921704,0.5704883,0.54986864,0.530303,0.51178294,0.49429965,0.4778455,0.46241236,0.44799194,0.43457708,0.4221593,0.410732,0.4002868,0.39081675,0.3823143,0.37477177,0.36818144,0.36253643,0.3578289,0.35405132,0.35119614,0.3492557,0.34822267,0.34808967,0.34884876,0.35049304,0.35301566,0.3564093,0.36066708,0.3657825,0.37174955,0.37856215,0.38621444,0.3947011,0.4040169,0.41415715,0.42511663,0.43689167,0.44947755,0.46287054,0.47706705,0.4920636,0.5078565,0.5244432
11,3.599399,3.508172,3.418406,3.330094,3.2432313,3.1578114,3.073828,2.9912748,2.910146,2.8304346,2.752134,2.675238,2.5997388,2.5256312,2.452907,2.3815598,2.3115826,2.2429678,2.1757095,2.1097996,2.0452309,1.9819965,1.9200894,1.8595022,1.8002269,1.7422569,1.6855845,1.6302023,1.5761026,1.5232779,1.4717212,1.4214234,1.3723782,1.3245772,1.2780123,1.2326756,1.1885589,1.1456544,1.1039538,1.0634485,1.0241315,0.985994,0.949029,0.9132283,0.87858456,0.8450903,0.81273794,0.78152,0.7514287,0.72245586,0.6945936,0.66783386,0.6421678,0.6175872,0.59408283,0.57164645,0.55026895,0.52994186,0.5106565,0.49240392,0.47517622,0.45896482,0.44376147,0.42955834,0.41634747,0.40412146,0.39287233,0.38259262,0.37327483,0.36491185,0.35749635,0.35102108,0.34547853,0.34086168,0.3371632,0.33437583,0.33249244,0.331506,0.33140928,0.33219504,0.3338565,0.33638677,0.33977917,0.34402725,0.3491244,0.35506475,0.36184227,0.3694514,0.37788683,0.38714355,0.39721674,0.40810165,0.419794,0.43228984,0.44558552,0.4596769,0.4745611,0.49023423,0.5066937,0.5239368
12,3.4529,3.3641782,3.2768974,3.1910515,3.106635,3.0236409,2.9420633,2.8618958,2.783132,2.7057645,2.629787,2.5551927,2.4819746,2.4101253,2.3396385,2.2705069,2.2027233,2.1362805,2.0711718,2.0073895,1.9449267,1.8837757,1.8239295,1.7653811,1.7081227,1.652147,1.5974466,1.5440141,1.4918416,1.4409223,1.3912477,1.342811,1.2956036,1.2496182,1.2048463,1.16128,1.1189113,1.0777318,1.0377336,0.9989084,0.9612483,0.92474556,0.8893925,0.85518146,0.8221052,0.790156,0.7593271,0.72961044,0.70099854,0.6734838,0.64705837,0.62171394,0.5974424,0.57423484,0.55208325,0.5309787,0.5109125,0.49187595,0.47386086,0.45685863,0.44086066,0.42585886,0.41184524,0.39881167,0.38675043,0.37565416,0.3655149,0.35632572,0.34807888,0.3407673,0.33438393,0.32892177,0.32437357,0.32073262,0.31799185,0.31614453,0.31518367,0.31510282,0.3158946,0.31755316,0.32007146,0.32344306,0.3276618,0.3327219,0.33861697,0.3453413,0.35288993,0.36125743,0.37043864,0.3804289,0.39122397,0.40281937,0.41521096,0.42839533,0.44236892,0.45712817,0.47266996,0.48899165,0.5060897,0.5239625
13,3.3128743,3.226583,3.1417134,3.0582585,2.976212,2.8955681,2.8163195,2.7384603,2.6619837,2.586882,2.5131495,2.4407785,2.3697622,2.3000937,2.2317657,2.1647716,2.0991035,2.0347543,1.9717169,1.9099846,1.8495498,1.7904043,1.7325423,1.6759557,1.620637,1.566579,1.5137746,1.4622159,1.4118955,1.3628061,1.3149397,1.2682889,1.2228457,1.1786019,1.1355499,1.0936813,1.0529884,1.0134624,0.9750955,0.9378797,0.9018067,0.86686885,0.8330588,0.800369,0.7687923,0.7383208,0.7089478,0.6806659,0.6534677,0.6273454,0.60229135,0.57829756,0.5553559,0.53345793,0.5125956,0.49276,0.47394282,0.4561357,0.43932992,0.42351717,0.4086893,0.39483833,0.38195592,0.37003446,0.3590662,0.34904343,0.33995897,0.33180535,0.32457566,0.3182627,0.31285948,0.3083594,0.30475557,0.30204117,0.30020994,0.2992553,0.29917067,0.29994977,0.30158618,0.30407378,0.30740657,0.31157833,0.31658328,0.32241577,0.32907042,0.33654183,0.34482497,0.35391507,0.3638072,0.37449765,0.38598183,0.3982559,0.41131607,0.42515916,0.43978158,0.45518076,0.47135332,0.48829687,0.50600874,0.52448654
14,3.1790688,3.095133,3.0125983,2.9314578,2.8517056,2.7733343,2.696338,2.6207094,2.546443,2.4735298,2.4019647,2.3317401,2.2628484,2.195283,2.129037,2.0641026,2.0004735,1.9381418,1.8770998,1.8173412,1.758858,1.7016435,1.64569,1.5909904,1.5375372,1.485323,1.4343407,1.3845825,1.3360411,1.2887089,1.2425783,1.1976414,1.1538905,1.1113176,1.0699149,1.0296742,0.9905873,0.9526459,0.91584194,0.8801673,0.8456142,0.81217486,0.77984166,0.7486073,0.7184644,0.6894059,0.661425,0.6345138,0.60866565,0.58387285,0.56012785,0.5374228,0.5157496,0.4951002,0.4754666,0.45684013,0.43921265,0.42257592,0.40692127,0.39224064,0.37852603,0.36576933,0.35396266,0.34309822,0.33316857,0.32416633,0.31608388,0.3089147,0.30265117,0.29728687,0.2928149,0.2892288,0.2865222,0.28468847,0.2837216,0.2836151,0.2843635,0.28596035,0.28839988,0.29167628,0.29578376,0.30071723,0.3064708,0.31303936,0.32041794,0.3286016,0.33758575,0.34736577,0.3579374,0.36929667,0.3814401,0.3943638,0.40806442,0.42253882,0.437784,0.45379737,0.470576,0.4881179,0.50642025,0.5254812
15,3.051226,2.9695697,2.8892946,2.8103924,2.7328577,2.6566832,2.5818624,2.5083888,2.436256,2.3654556,2.2959814,2.2278275,2.160985,2.0954475,2.031208,1.9682595,1.9065936,1.8462043,1.787084,1.7292256,1.672621,1.6172638,1.5631465,1.5102613,1.4586017,1.4081595,1.358928,1.3108993,1.2640657,1.2184207,1.1739559,1.1306636,1.0885363,1.0475658,1.0077443,0.96906424,0.9315163,0.8950931,0.8597863,0.8255876,0.7924896,0.76048416,0.7295642,0.699722,0.6709507,0.643243,0.61659217,0.59099084,0.5664321,0.54290843,0.5204126,0.49893677,0.47847334,0.4590144,0.44055167,0.42307714,0.4065827,0.39106005,0.3765011,0.36289775,0.3502422,0.33852637,0.3277427,0.31788355,0.3089414,0.30090904,0.2937794,0.2875455,0.28220052,0.27773786,0.274151,0.27143368,0.2695799,0.26858336,0.26843846,0.2691391,0.27067995,0.27305502,0.27625924,0.28028694,0.28513306,0.2907924,0.29725978,0.30453068,0.31260037,0.32146445,0.3311183,0.34155807,0.35277992,0.36478013,0.37755534,0.39110208,0.40541717,0.42049843,0.43634227,0.45294657,0.47030917,0.48842767,0.5072997,0.5269239
16,2.9290924,2.8496416,2.7715502,2.694811,2.6194186,2.5453658,2.472646,2.4012525,2.3311784,2.2624168,2.19496,2.1288028,2.0639353,2.0003521,1.9380465,1.8770101,1.8172361,1.7587175,1.7014468,1.6454167,1.5906198,1.5370489,1.4846972,1.4335569,1.3836205,1.3348811,1.287331,1.2409633,1.19577,1.1517441,1.1088777,1.067163,1.0265927,0.98715866,0.9488531,0.9116677,0.8755946,0.8406254,0.8067522,0.773967,0.74226165,0.7116286,0.6820607,0.65355,0.62608993,0.59967357,0.5742936,0.5499434,0.5266159,0.50430363,0.48299983,0.46269682,0.4433868,0.4250625,0.40771553,0.39133838,0.37592298,0.36146122,0.3479452,0.3353672,0.32371926,0.3129937,0.30318308,0.29427975,0.28627658,0.27916658,0.27294278,0.26759827,0.2631266,0.25952142,0.25677645,0.2548857,0.25384334,0.25364372,0.2542812,0.25575024,0.25804597,0.26116288,0.2650957,0.26984018,0.27539074,0.28174305,0.28889245,0.2968347,0.3055652,0.31508029,0.3253755,0.3364477,0.348293,0.3609082,0.37428987,0.38843536,0.40334192,0.419007,0.4354277,0.4526024,0.47052854,0.489204,0.5086274,0.5287967
17,2.812421,2.7351012,2.65912,2.5844705,2.5111473,2.439143,2.3684509,2.2990646,2.230977,2.1641812,2.09867,2.0344365,1.9714737,1.9097741,1.8493309,1.7901368,1.7321842,1.6754662,1.6199756,1.5657047,1.5126463,1.4607937,1.4101391,1.3606753,1.3123951,1.2652915,1.2193564,1.1745832,1.130964,1.0884916,1.0471586,1.006957,0.96787953,0.9299182,0.8930651,0.85731244,0.82265174,0.78907496,0.75657445,0.72514176,0.69476926,0.6654492,0.6371743,0.60993713,0.58373076,0.55854815,0.5343827,0.5112273,0.48907524,0.4679195,0.447753,0.42856842,0.41035843,0.39311564,0.3768321,0.36150047,0.34711272,0.33366114,0.32113802,0.30953574,0.2988468,0.2890635,0.2801785,0.27218473,0.2650749,0.25884235,0.25348026,0.24898209,0.24534145,0.24255234,0.24060869,0.23950495,0.23923542,0.23979479,0.24117793,0.24337974,0.24639519,0.2502197,0.25484854,0.26027715,0.2665012,0.27351612,0.28131804,0.28990272,0.29926652,0.30940557,0.32031643,0.33199552,0.34443983,0.35764626,0.3716121,0.3863344,0.40181094,0.41803944,0.43501747,0.45274323,0.47121483,0.49043044,0.5103882,0.5310868
18,2.700972,2.6257107,2.5517673,2.4791362,2.4078102,2.3377833,2.2690482,2.201598,2.1354268,2.0705266,2.006891,1.9445128,1.8833847,1.8234994,1.7648501,1.7074295,1.6512303,1.5962454,1.5424671,1.4898889,1.4385026,1.3883015,1.3392787,1.2914261,1.2447368,1.1992037,1.1548193,1.1115768,1.069468,1.0284861,0.9886236,0.94987285,0.9122263,0.8756763,0.84021485,0.80583405,0.772526,0.7402824,0.7090957,0.67895746,0.64986026,0.6217962,0.5947578,0.5687381,0.5437299,0.5197264,0.496721,0.47470668,0.45367694,0.4336249,0.4145436,0.39642602,0.379265,0.3630532,0.34778327,0.33344766,0.32003886,0.3075495,0.29597193,0.28529873,0.2755227,0.2666363,0.25863248,0.25150436,0.2452449,0.23984763,0.23530586,0.23161346,0.22876425,0.22675227,0.22557214,0.2252184,0.22568563,0.22696908,0.22906359,0.23196477,0.23566794,0.24016866,0.24546273,0.25154608,0.25841475,0.26606458,0.2744919,0.2836929,0.2936645,0.30440292,0.31590542,0.3281685,0.34118965,0.354966,0.3694951,0.38477433,0.40080184,0.4175754,0.435093,0.45335296,0.47235364,0.4920935,0.51257086,0.5337851
19,2.5945156,2.521243,2.4492683,2.378585,2.309187,2.241068,2.1742206,2.1086385,2.044315,1.9812427,1.9194145,1.8588238,1.7994633,1.7413256,1.684404,1.6286907,1.5741788,1.5208614,1.4687308,1.4177798,1.3680013,1.3193879,1.2719326,1.2256279,1.1804668,1.1364418,1.093546,1.0517719,1.0111123,0.97156006,0.9331076,0.89574754,0.8594723,0.8242744,0.7901459,0.75707924,0.72506607,0.69409883,0.6641693,0.63526946,0.6073919,0.58052886,0.554673,0.529817,0.5059538,0.48307696,0.46117955,0.44025505,0.42029673,0.40129805,0.38325235,0.36615258,0.349992,0.3347633,0.3204594,0.30707327,0.29459745,0.28302467,0.27234784,0.26255956,0.2536529,0.24562083,0.23845623,0.23215257,0.226703,0.22210132,0.21834108,0.21541654,0.21332166,0.21205093,0.21159905,0.21196078,0.21313144,0.21510619,0.21788064,0.22145037,0.22581129,0.23095936,0.23689058,0.24360141,0.25108814,0.25934702,0.26837507,0.2781687,0.2887248,0.30004057,0.3121128,0.3249392,0.33851707,0.35284382,0.3679173,0.38373578,0.4002969,0.41759902,0.43564022,0.45441937,0.4739347,0.4941851,0.51516914,0.536886
